,Daily New Cases,Daily New Cases,Daily New Cases,Daily New Cases,Daily New Cases,Daily New Cases,Daily New Cases,Daily New Cases,Daily New Cases,Daily New Cases,Daily New Cases,Daily New Cases,Daily New Cases,Daily New Cases,Daily New Cases,Daily New Cases,Daily New Cases,Daily New Cases,Daily New Cases,Daily New Cases,Daily New Cases,Daily New Cases,Daily New Cases,Daily New Cases,Daily New Cases,Daily New Cases,Daily New Cases,Daily New Cases,Daily New Cases,Daily New Cases,Daily New Cases,Daily New Cases,Daily New Cases,Daily New Cases
State,Andaman and Nicobar Islands,Andhra Pradesh,Arunachal Pradesh,Assam,Bihar,Chandigarh,Chhattisgarh,Dadra and Nagar Haveli and Daman and Diu,Delhi,Goa,Gujarat,Haryana,Himachal Pradesh,Jammu and Kashmir,Jharkhand,Karnataka,Kerala,Ladakh,Madhya Pradesh,Maharashtra,Manipur,Meghalaya,Mizoram,Odisha,Puducherry,Punjab,Rajasthan,State Unassigned,Tamil Nadu,Telangana,Tripura,Uttar Pradesh,Uttarakhand,West Bengal
Date,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-01-30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-02-02,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-02-03,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-03-02,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
2020-03-03,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
2020-03-04,0,0,0,0,0,0,0,0,0,0,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,7,0,0
2020-03-05,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
2020-03-06,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-03-07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
2020-03-08,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-03-09,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,1,0,0,2,0,0,0,0,0,1,0,0,0,0,0,2,0,0
2020-03-10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,8,0,0,3,0,0,0,0,0,0,1,0,0,0,0,0,0,0
2020-03-11,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-03-12,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,2,0,0,3,0,0,0,0,0,0,0,0,0,0,0,2,0,0
2020-03-13,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,3,0,0,3,0,0,0,0,0,0,0,0,0,0,0,1,0,0
2020-03-14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,1,0,0,1,0,0,0,0
2020-03-15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,6,0,0,0,0,0,0,0,0,0,1,0,0,1,0
2020-03-16,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,3,0,0,7,0,0,0,1,0,0,0,0,0,1,0,0,0,0
2020-03-17,0,0,0,0,0,0,0,0,3,0,0,1,0,0,0,4,0,5,0,2,0,0,0,0,1,0,0,0,0,1,0,2,0,1
2020-03-18,0,0,0,0,0,0,0,0,1,0,0,2,0,1,0,3,0,0,0,4,0,0,0,0,0,0,3,0,1,8,0,2,0,0
2020-03-19,0,2,0,0,0,1,1,0,3,0,2,0,0,0,0,1,1,0,0,3,0,0,0,1,0,1,2,0,1,3,0,3,2,0
2020-03-20,0,0,0,0,0,4,0,0,6,0,5,2,2,0,0,0,12,2,4,4,0,0,0,0,0,1,8,0,0,3,0,4,0,1
2020-03-21,0,2,0,0,0,0,0,0,7,0,7,2,0,0,0,5,12,3,0,12,0,0,0,0,0,10,7,0,3,2,0,4,0,2
2020-03-22,0,1,0,0,2,1,0,0,1,0,4,0,0,0,0,6,15,0,2,10,0,0,0,0,0,8,5,0,3,6,0,2,0,3
2020-03-23,0,1,0,0,1,1,0,0,2,0,12,7,1,0,0,7,28,0,0,15,0,0,0,0,0,2,3,0,3,6,0,4,1,0
2020-03-24,0,1,0,0,0,0,0,0,0,0,6,2,0,2,0,8,14,0,1,18,1,0,0,0,0,6,0,0,6,6,0,1,0,2
2020-03-25,0,2,0,0,1,0,2,0,5,3,2,1,0,5,0,10,9,0,8,15,0,0,1,0,0,2,6,0,8,2,0,3,1,0
2020-03-26,1,1,0,0,3,0,3,0,4,0,6,1,0,3,0,4,19,0,5,3,0,0,0,1,0,2,5,0,3,4,0,4,0,1
2020-03-27,5,2,0,0,2,1,0,0,1,0,3,1,0,6,0,9,39,0,9,28,0,0,0,0,0,5,7,0,9,14,0,7,0,5
2020-03-28,3,6,0,0,2,0,1,0,9,0,8,2,0,13,0,12,6,0,10,28,0,0,0,0,0,0,4,0,4,8,0,16,1,3
2020-03-29,0,2,0,0,4,0,0,0,23,2,8,0,0,5,0,7,20,0,0,22,0,0,0,0,0,0,5,0,8,3,0,7,1,3
2020-03-30,1,2,0,0,0,5,1,0,25,0,7,1,0,11,0,5,32,0,8,17,0,0,0,0,0,3,20,0,17,7,0,24,0,1
2020-03-31,0,21,0,1,6,2,1,0,23,0,4,7,0,6,1,13,7,0,19,82,0,0,0,1,0,1,14,0,57,20,0,8,0,15
2020-04-01,0,67,0,15,3,2,0,0,32,0,13,0,0,7,0,9,24,0,32,33,0,0,0,1,2,4,27,0,110,30,0,13,0,0
2020-04-02,0,38,1,0,5,1,0,0,141,0,1,6,3,8,1,14,21,0,9,88,1,0,0,0,2,1,13,0,75,27,0,11,3,16
2020-04-03,0,15,0,7,2,0,0,0,93,1,7,9,0,5,0,4,9,1,47,64,0,0,0,15,0,6,46,0,102,75,0,46,6,0
2020-04-04,0,28,0,3,1,0,1,0,59,1,13,26,7,17,0,16,11,0,25,148,0,0,0,1,0,12,27,0,74,43,0,60,6,0
2020-04-05,0,64,0,0,0,0,0,0,58,0,20,6,1,14,1,7,8,0,14,112,0,0,0,18,0,3,60,0,86,62,0,44,4,27
2020-04-06,0,47,0,0,0,0,0,0,22,0,18,20,4,3,1,12,13,0,63,121,0,0,0,1,0,11,35,0,50,30,1,27,5,0
2020-04-07,0,11,0,2,6,0,0,0,51,0,29,33,9,16,0,12,9,0,34,150,0,0,0,2,0,20,42,0,69,40,0,27,0,11
2020-04-08,1,34,0,0,1,0,0,0,93,0,11,24,0,33,0,6,9,0,51,117,0,0,0,0,0,7,40,0,48,49,0,29,4,8
2020-04-09,0,15,0,1,19,0,8,0,51,0,76,3,1,26,9,16,12,0,70,229,0,0,0,6,0,24,80,0,96,18,0,49,0,4
2020-04-10,0,18,0,0,2,1,0,0,183,0,116,6,0,23,1,10,7,1,40,210,0,0,0,2,2,21,98,0,77,16,1,23,0,13
2020-04-11,0,24,0,0,4,0,7,0,166,0,90,3,4,17,3,8,10,0,78,187,0,0,0,4,0,7,139,0,58,16,0,19,0,10
2020-04-12,0,15,0,1,0,2,6,0,85,0,48,16,0,21,2,17,2,0,33,223,0,0,0,0,0,12,104,0,106,28,0,31,0,8
2020-04-13,0,19,0,2,2,0,0,0,356,0,56,1,0,25,5,15,3,2,52,354,0,1,0,1,0,6,93,0,98,61,0,75,0,18
2020-04-14,0,47,0,1,0,0,2,0,51,0,78,2,1,8,3,13,8,0,127,348,0,0,0,5,0,8,108,0,31,52,0,102,2,38
2020-04-15,0,41,0,0,6,0,0,0,17,0,116,6,2,22,1,19,1,1,197,238,0,6,0,0,0,2,71,0,38,6,0,75,0,23
2020-04-16,0,9,0,2,11,0,3,0,62,0,163,11,0,14,1,36,7,0,226,287,0,2,0,0,0,11,55,0,25,50,0,72,0,18
2020-04-17,1,38,0,0,2,0,0,0,67,0,170,8,3,14,3,44,1,0,146,120,0,0,0,0,0,14,98,0,56,66,0,44,3,24
2020-04-18,2,31,0,0,1,2,0,0,186,0,277,9,1,13,1,25,4,0,96,333,0,2,0,1,0,23,122,0,49,43,0,128,2,32
2020-04-19,1,44,0,0,10,3,0,0,110,0,367,18,0,13,8,6,2,0,5,574,0,0,0,0,0,12,127,0,105,49,0,133,2,23
2020-04-20,1,75,0,0,17,0,0,0,78,0,196,1,0,14,5,18,6,0,78,490,0,0,0,13,0,1,102,0,43,14,0,84,2,29
2020-04-21,1,35,0,0,13,1,0,0,75,0,239,4,0,12,0,10,19,0,67,578,0,1,0,5,0,6,161,0,76,56,0,159,0,53
2020-04-22,1,56,0,0,17,0,0,0,92,0,229,9,0,27,0,9,11,0,37,437,0,0,0,4,0,27,153,0,33,15,0,114,0,31
2020-04-23,4,80,0,1,27,0,0,0,128,0,217,6,1,27,7,18,10,0,104,808,0,0,0,6,0,5,76,0,54,27,0,61,1,33
2020-04-24,7,62,0,0,53,0,0,0,138,0,191,5,0,20,6,29,3,0,161,424,0,0,0,5,0,15,70,0,72,13,0,111,1,58
2020-04-25,4,61,0,0,28,1,1,0,111,0,256,12,0,40,8,26,7,2,103,845,0,0,0,6,1,10,51,0,66,7,0,180,0,57
2020-04-26,0,85,0,0,26,8,0,0,293,0,230,9,0,33,15,3,11,0,153,464,0,0,0,3,0,14,104,0,64,11,0,82,3,40
2020-04-27,0,80,0,0,69,9,0,0,190,0,247,5,0,23,21,9,13,0,75,522,0,0,0,15,0,8,77,0,52,2,0,113,0,38
2020-04-28,0,82,0,2,20,11,1,0,206,0,226,7,0,19,2,11,4,2,222,728,0,0,0,0,0,12,102,0,121,6,0,67,3,48
2020-04-29,0,73,0,0,37,12,0,0,125,0,308,3,0,16,2,12,10,0,173,597,0,0,0,7,0,33,76,0,104,7,0,81,1,28
2020-04-30,0,71,0,5,22,6,2,0,76,0,313,28,0,33,3,30,2,0,65,583,0,0,0,18,0,105,144,0,161,22,1,77,2,33
2020-05-01,0,60,0,0,41,14,3,0,223,0,326,18,0,25,3,24,0,0,90,1008,0,0,0,11,0,105,82,0,203,6,0,117,0,37
2020-05-02,0,62,0,0,15,6,0,0,384,0,333,19,0,27,2,12,2,1,73,790,0,0,0,6,1,187,106,0,231,17,2,159,2,127
2020-05-03,0,58,0,0,36,3,14,0,427,0,374,66,0,35,0,13,0,19,49,678,0,0,0,2,0,330,114,0,266,21,12,158,1,276
2020-05-04,0,67,0,0,11,5,1,0,349,0,376,75,1,25,0,37,0,0,105,1567,0,0,0,7,0,130,175,0,527,3,13,121,0,61
2020-05-05,0,67,0,2,7,17,1,1,206,0,441,31,1,15,10,22,3,0,107,984,0,0,0,8,0,219,97,0,508,11,13,114,1,85
2020-05-06,0,60,0,1,7,5,0,0,428,0,380,46,1,34,2,20,0,0,89,1233,0,0,0,28,0,75,159,0,771,11,22,118,0,112
2020-05-07,0,56,0,8,8,11,0,0,448,0,388,31,3,18,5,12,0,0,114,1216,0,0,0,14,0,118,110,0,580,15,24,73,0,92
2020-05-08,0,54,0,6,29,11,0,0,338,0,390,22,4,30,22,48,1,0,89,1089,0,0,0,51,1,87,152,0,600,10,30,143,2,130
2020-05-09,0,43,0,2,32,23,0,0,224,0,394,28,2,13,2,41,2,0,116,1165,0,1,0,82,0,31,129,0,526,31,17,159,4,108
2020-05-10,0,50,0,1,96,4,0,0,381,0,398,28,6,25,1,54,7,0,157,1943,0,0,0,25,2,61,106,0,669,33,16,94,1,153
2020-05-11,0,38,0,2,42,8,0,0,310,0,347,27,1,18,4,14,7,0,171,1230,0,0,0,38,0,54,174,0,798,79,0,106,0,124
2020-05-12,0,71,0,0,130,6,0,0,406,0,362,50,8,55,11,63,5,0,201,1026,0,0,0,22,0,37,138,0,716,51,2,91,1,110
2020-05-13,0,48,0,15,74,4,0,0,359,0,364,13,1,37,5,34,10,1,187,1495,0,0,0,101,1,10,202,0,509,41,1,94,3,117
2020-05-14,0,68,0,7,46,0,1,0,472,8,324,25,6,12,26,28,26,0,253,1602,1,0,0,134,3,11,206,0,447,47,1,144,6,87
2020-05-15,0,102,0,3,34,0,6,0,425,0,340,36,2,30,8,69,16,0,169,1576,0,0,0,65,0,-3,213,0,434,40,0,155,4,84
2020-05-16,0,48,0,3,145,0,1,0,438,5,1057,33,2,108,6,36,11,0,195,1606,4,0,0,0,1,14,213,0,477,55,11,201,9,115
2020-05-17,0,25,0,8,142,0,18,0,422,9,391,23,2,62,6,55,14,0,187,2347,0,0,0,91,0,18,242,0,639,42,-2,206,1,101
2020-05-18,0,52,0,15,103,5,10,0,299,9,366,18,10,106,5,99,29,0,259,2005,0,0,0,48,0,16,305,0,536,41,0,141,4,147
2020-05-19,0,57,0,42,96,3,5,0,500,8,395,36,2,28,20,149,12,0,229,2078,2,0,0,102,5,22,338,814,688,42,8,321,15,137
2020-05-20,0,71,0,31,88,3,14,0,534,4,398,29,18,73,42,67,24,1,270,2161,16,1,0,74,1,3,170,282,743,27,0,249,11,142
